movie_name,ranking,score,score_num
肖申克的救赎,1,9.7,1918400
霸王别姬,2,9.6,1411167
阿甘正传,3,9.5,1458896
这个杀手不太冷,4,9.4,1654365
美丽人生,5,9.5,924618
泰坦尼克号,6,9.4,1403435
千与千寻,7,9.3,1499023
辛德勒的名单,8,9.5,745894
盗梦空间,9,9.3,1405045
忠犬八公的故事,10,9.4,966254
海上钢琴师,11,9.3,1167442
机器人总动员,12,9.3,926867
三傻大闹宝莱坞,13,9.2,1292000
楚门的世界,14,9.3,1028595
放牛班的春天,15,9.3,899201
星际穿越,16,9.3,1040117
大话西游之大圣娶亲,17,9.2,1016038
熔炉,18,9.3,622952
疯狂动物城,19,9.2,1204627
无间道,20,9.2,829486
龙猫,21,9.2,867650
教父,22,9.3,636087
当幸福来敲门,23,9.1,1036129
怦然心动,24,9.1,1193994
触不可及,25,9.2,677394
蝙蝠侠：黑暗骑士,26,9.2,698026
控方证人,27,9.6,262082
活着,28,9.2,538568
乱世佳人,29,9.3,462570
末代皇帝,30,9.2,475062
寻梦环游记,31,9.1,1002655
摔跤吧！爸爸,32,9.0,1051329
少年派的奇幻漂流,33,9.1,987395
指环王3：王者无敌,34,9.2,510243
飞屋环游记,35,9.0,913860
十二怒汉,36,9.4,307525
鬼子来了,37,9.2,423667
何以为家,38,9.1,587515
天空之城,39,9.1,580594
大话西游之月光宝盒,40,9.0,817676
哈尔的移动城堡,41,9.0,663144
天堂电影院,42,9.2,462236
素媛,43,9.2,412576
罗马假日,44,9.0,669812
闻香识女人,45,9.1,581507
辩护人,46,9.2,413967
搏击俱乐部,47,9.0,610929
哈利・波特与魔法石,48,9.0,606494
死亡诗社,49,9.1,477247
教父2,50,9.2,350532
窃听风暴,51,9.1,393334
狮子王,52,9.0,538114
指环王2：双塔奇兵,53,9.1,467744
我不是药神,54,9.0,1419540
大闹天宫,55,9.3,251819
两杆大烟枪,56,9.1,417240
指环王1：魔戒再现,57,9.0,525892
飞越疯人院,58,9.1,417261
美丽心灵,59,9.0,517170
饮食男女,60,9.1,382714
V字仇杀队,61,8.9,731611
黑客帝国,62,9.0,525832
猫鼠游戏,63,9.0,526357
钢琴家,64,9.1,345578
本杰明・巴顿奇事,65,8.9,676764
看不见的客人,66,8.8,782559
让子弹飞,67,8.8,1099267
海豚湾,68,9.3,275859
西西里的美丽传说,69,8.9,661004
情书,70,8.9,622897
拯救大兵瑞恩,71,9.0,436716
小鞋子,72,9.2,268087
音乐之声,73,9.0,403605
美国往事,74,9.2,288084
穿条纹睡衣的男孩,75,9.1,329334
致命魔术,76,8.9,578712
七宗罪,77,8.8,675693
低俗小说,78,8.8,575525
绿皮书,79,8.9,1001606
沉默的羔羊,80,8.8,572291
蝴蝶效应,81,8.8,636169
被嫌弃的松子的一生,82,8.9,514835
春光乍泄,83,8.9,427681
禁闭岛,84,8.8,633783
心灵捕手,85,8.9,474348
布达佩斯大饭店,86,8.8,599730
海蒂和爷爷,87,9.2,227873
勇敢的心,88,8.9,431321
剪刀手爱德华,89,8.7,772611
阿凡达,90,8.7,913499
天使爱美丽,91,8.7,741778
摩登时代,92,9.3,186334
加勒比海盗,93,8.7,604777
致命ID,94,8.8,531076
喜剧之王,95,8.7,628689
断背山,96,8.8,513880
幽灵公主,97,8.9,377555
杀人回忆,98,8.8,435620
入殓师,99,8.8,437919
狩猎,100,9.1,233723
阳光灿烂的日子,101,8.8,433759
重庆森林,102,8.7,544477
第六感,103,8.9,373049
请以你的名字呼唤我,104,8.9,413415
小森林 夏秋篇,105,9.0,277638
哈利・波特与死亡圣器(下),106,8.8,497599
消失的爱人,107,8.7,613505
7号房的礼物,108,8.9,343343
玛丽和马克思,109,8.9,320681
红辣椒,110,9.0,258826
爱在黎明破晓前,111,8.8,395672
告白,112,8.7,519954
一一,113,9.0,239288
小森林 冬春篇,114,9.0,244106
侧耳倾听,115,8.9,306279
大鱼,116,8.8,401346
阳光姐妹淘,117,8.8,436777
蝙蝠侠：黑暗骑士崛起,118,8.7,488813
射雕英雄传之东成西就,119,8.7,446482
唐伯虎点秋香,120,8.6,678080
超脱,121,8.9,308332
倩女幽魂,122,8.7,480733
甜蜜蜜,123,8.8,351530
驯龙高手,124,8.7,517678
萤火之森,125,8.9,326064
恐怖直播,126,8.8,423280
菊次郎的夏天,127,8.8,343422
幸福终点站,128,8.8,365472
爱在日落黄昏时,129,8.8,338547
超能陆战队,130,8.7,667948
无人知晓,131,9.1,176019
借东西的小人阿莉埃蒂,132,8.8,363481
神偷奶爸,133,8.6,670250
怪兽电力公司,134,8.7,434336
风之谷,135,8.9,271465
玩具总动员3,136,8.8,337497
完美的世界,137,9.1,163886
血战钢锯岭,138,8.7,553986
上帝之城,139,8.9,222024
傲慢与偏见,140,8.6,511494
时空恋旅人,141,8.7,368357
电锯惊魂,142,8.7,340154
喜宴,143,8.9,229456
教父3,144,8.9,232603
谍影重重3,145,8.8,295978
岁月神偷,146,8.7,440801
英雄本色,147,8.7,335045
七武士,148,9.2,127320
被解救的姜戈,149,8.7,419085
功夫,150,8.5,619427
疯狂原始人,151,8.7,594481
哪吒闹海,152,9.1,163520
天书奇谭,153,9.2,131193
心迷宫,154,8.7,330958
真爱至上,155,8.6,502592
萤火虫之墓,156,8.7,308334
三块广告牌,157,8.7,580882
纵横四海,158,8.8,272287
我是山姆,159,8.9,198666
达拉斯买家俱乐部,160,8.8,309314
东邪西毒,161,8.6,416418
爆裂鼓手,162,8.7,378721
记忆碎片,163,8.6,423451
荒蛮故事,164,8.8,278330
贫民窟的百万富翁,165,8.6,548680
头号玩家,166,8.7,969664
黑天鹅,167,8.6,613908
人生果实,168,9.5,78477
花样年华,169,8.6,387419
你的名字。,170,8.4,925115
卢旺达饭店,171,8.9,194799
釜山行,172,8.5,745247
忠犬八公物语,173,9.2,123064
头脑特工队,174,8.7,398245
雨人,175,8.7,298514
模仿游戏,176,8.7,412821
黑客帝国3：矩阵革命,177,8.7,279763
一个叫欧维的男人决定去死,178,8.8,243095
你看起来好像很好吃,179,8.9,235673
无敌破坏王,180,8.7,362231
未麻的部屋,181,8.9,177157
恋恋笔记本,182,8.5,449360
冰川时代,183,8.6,436794
哈利・波特与阿兹卡班的囚徒,184,8.6,357775
海边的曼彻斯特,185,8.6,338697
海街日记,186,8.8,261273
二十二,187,8.7,203240
虎口脱险,188,8.9,161892
新世界,189,8.8,211583
房间,190,8.8,270682
雨中曲,191,9.0,141799
哈利・波特与密室,192,8.6,376939
恐怖游轮,193,8.5,538569
人工智能,194,8.6,299220
魔女宅急便,195,8.6,320161
惊魂记,196,8.9,154081
海洋,197,9.1,126378
疯狂的石头,198,8.4,544508
奇迹男孩,199,8.6,393326
罗生门,200,8.8,207465
燃情岁月,201,8.8,207329
终结者2：审判日,202,8.7,240569
魂断蓝桥,203,8.8,189223
穿越时空的少女,204,8.6,284118
爱在午夜降临前,205,8.8,209827
初恋这件小事,206,8.4,730018
可可西里,207,8.8,199421
2001太空漫游,208,8.8,188578
完美陌生人,209,8.5,384958
绿里奇迹,210,8.8,180607
小偷家族,211,8.7,551547
牯岭街少年杀人事件,212,8.8,174484
阿飞正传,213,8.5,340417
无耻混蛋,214,8.6,339559
香水,215,8.5,405446
谍影重重2,216,8.6,250251
新龙门客栈,217,8.6,303018
猜火车,218,8.5,331175
源代码,219,8.4,583217
谍影重重,220,8.6,299279
战争之王,221,8.6,252738
青蛇,222,8.5,348778
地球上的星星,223,8.9,141903
城市之光,224,9.3,81924
血钻,225,8.6,239636
浪潮,226,8.7,195360
朗读者,227,8.6,360190
彗星来的那一夜,228,8.5,338155
步履不停,229,8.8,168905
疯狂的麦克斯4：狂暴之路,230,8.6,350663
色，戒,231,8.4,452563
遗愿清单,232,8.6,245115
大佛普拉斯,233,8.7,251832
小萝莉的猴神大叔,234,8.4,333297
再次出发之纽约遇见你,235,8.5,286742
追随,236,8.9,125306
聚焦,237,8.8,199671
东京物语,238,9.2,86045
一次别离,239,8.7,189247
驴得水,240,8.3,625864
黑鹰坠落,241,8.7,199538
我爱你,242,9.0,102554
千钧一发,243,8.8,161380
发条橙,244,8.5,270590
E.T. 外星人,245,8.6,246368
网络谜踪,246,8.6,361048
四个春天,247,8.9,110406
撞车,248,8.6,242847
变脸,249,8.5,307867
梦之安魂曲,250,8.7,159147
